premise,hypothesis,label,genre,pairID,strat_key
"The Mosque of El-Jezzar, built in 1781, dominates the landside of the old city (the other three sides jut into the Mediterranean).",The mosque contains many examples of intricate textile work. ,neutral,travel,2468n,travel_neutral
"We should seek to achieve the most good or benefit, with the least harm and destruction of things that we value, he argued.",He argued that we should recklessly destroy all the things that we care the most about.,contradiction,slate,100332c,slate_contradiction
yeah it is it is and i guess you don't have to but you know if you look at oh have you ever seen any of the Jacques Teti Teti movies the French movies uh Teti it it,Have you ever watched any French films?,neutral,telephone,53863e,telephone_neutral
'I really don't feel comfortable around people who enjoy making speeches.',I don't enjoy being around people who like public speaking because they are usually liars. ,neutral,fiction,143433n,fiction_neutral
"The tip was hooked towards the edge, the same way the tips are hammered for knives used for slaughter.",They were fragile and could not leave a scratch. ,contradiction,fiction,121360c,fiction_contradiction
plus i like to dance you know,Plus I love to get my groove on.,neutral,telephone,117420n,telephone_neutral
uh-huh yeah yeah they're good,Everyone thinks they're bad.,contradiction,telephone,45319c,telephone_contradiction
"LSC set a deadline of October 1, 1998, for submission of state planning reports.","LSC has a deadline of October 1,1998 to submit state planning reports.",entailment,government,79436e,government_entailment
"Oh, yes, sir. Dorcas was looking very curiously at him and, to tell the truth, so was I. ",He was not the only person that has made us curious.,neutral,fiction,139981n,fiction_neutral
"In Roman times a temple to Jupiter stood here, followed in the fourth century by the first Christian church, Saint-Etienne.","Saint-Etienne, a Christian church, had a temple to Jupiter during Roman times.",entailment,travel,103400e,travel_entailment
"This provides insight into the important Japanese concept of katachi (form), the rough equivalent of  It isn't what you do; it's the way that you do it.  ",All Japanese people abide by the concept of katachi.,neutral,travel,128729n,travel_neutral
"But you would not trust me.""",It is understandable because I have broken your trust numerous times. ,neutral,fiction,114267n,fiction_neutral
Tuppence rose.,Tuppence floated into the air.,neutral,fiction,52278n,fiction_neutral
"Also in Eustace Street is an information office and a cultural center for children, The Ark .","The Ark is located in Eustace Street, and is a cultural center for kids.",entailment,travel,130021e,travel_entailment
i don't know no i don't,"I used to know, now I don't.",neutral,telephone,83173n,telephone_neutral
Grantees statistically sample the cases closed in the previous year to determine if the sampled cases generally meet the requirements for reporting cases to LSC.,Grantees are not going to pay attention to cases closed in the last year.,contradiction,government,131084c,government_contradiction
no i i i don't i it completely beyond me i went to my under graduate uh education,I was thinking of other things so I can't recall.,neutral,telephone,72721n,telephone_neutral
"In this enclosed but airy building, you'll find ladies with large machetes expertly chopping off hunks of kingfish, tuna, or shark for eager buyers.",The ladies have worked here cutting fish all their lives.,neutral,travel,61429n,travel_neutral
"I jumped, coat tails flapping.",I was completely naked.,contradiction,fiction,105253c,fiction_contradiction
yeah well losing is i mean i'm i'm originally from Saint Louis and Saint Louis Cardinals when they were there were uh a mostly a losing team but,The St. Louis Cardinals were mostly a losing team.,entailment,telephone,54258e,telephone_entailment
"He appropriated for the State much of the personal fortunes of the princes, but found it harder to curtail the power of land-owners who had extensive contacts with the more conservative elements in his Congress Party.","It was difficult to curtail the power of land-owners in extensive contact with the more conservative elements in the Congress Party, because the Party was paying them off.",neutral,travel,134368n,travel_neutral
There were beads of perspiration on his brow.,He was perfectly calm and dry as he waited.,contradiction,fiction,74745c,fiction_contradiction
"approaches for setting different requirements for sources that pose different levels of hazard (tiering); worst-case releases and other hazard assessment issues; accident information reporting; public participation; inherently safer approaches; and implementation and integration of section 112(r) with state programs, particularly state air permitting programs.",The hazards range from effecting the individual all the way up to the community.,neutral,government,141146n,government_neutral
The  rock  has a soft texture and can be bought in a variety of shapes.,The rock comes in various shapes.,entailment,travel,66737e,travel_entailment
so uh listen i'll call Triple A uh auto club any time,At any time I would call Triple A.,entailment,telephone,4615e,telephone_entailment
"This one-at-a-time, uncoordinated series of regulatory requirements for the power industry is not the optimal approach for the environment, the power generation sector, or American consumers.",The environment and American consumers are better off as a result of this regulation.,neutral,government,132936c,government_neutral
And you are wrong in condemning it. ,I totally agree with your criticism.,contradiction,fiction,43440c,fiction_contradiction
"General Accounting Office, A Model of Strategic Human Capital Management, GAO-02-373SP (Washington, D.C.: Mar.",The GAO may be a model of strategic human capital management.,neutral,government,49748n,government_neutral
"Though he abstains from showbizzy campaigning, he markets his virtue and exploits his legend.","He is capable to market his virtue, exploiting his legend, but fans are starting to get tired of it.",neutral,slate,123895n,slate_neutral
and i'll go there for you know two months straight we won't go anyplace else,I'll go there for two months straight because the attention is amazing.,neutral,telephone,73706n,telephone_neutral
"At Kansas City Power and Light's Hawthorn Power Station, Unit 5 was replaced (excluding turbine) in under 22 months.",Unit 5 was the only one that was replaced.,neutral,government,135400n,government_neutral
"The seven grants flow from a new Nonprofit Capacity Building program at the foundation, part of a trend among philanthropists to give money to help organizations grow stronger, rather than to the program services they provide.",The grants flow from the Executive branch of the United States government.,contradiction,government,67113c,government_contradiction
"The South African priest who invited Clinton to do so is quoted in the paper as saying that once Clinton stood up, he was thinking about how much embarrassment it would have caused him by my saying, please sit down.",A South African priest once invited Clinton to do so in quoted paper. ,entailment,slate,5782e,slate_entailment
Technological advances generally come in waves that crest and eventually subside.,Advances in electronics come in waves.,entailment,government,103168n,government_entailment
"He asserted that the area was blessed with the highest concentration of exactly those natural features that, when combined, create the most pleasing and relaxing vistas possible landscapes composed of  lakes representing the source of life in water, trees offering the promise of shelter, smooth areas providing easy walking and a curved shoreline or path in the distance to stimulate curiosity.  ",He spoke ill of the area's natural features.,contradiction,travel,38784c,travel_contradiction
"I'm sure I won't get stuck to it,' Julia remarked about the suitcase she was carrying.",Julia was carrying a blue suitcase filled with a dismembered body. ,neutral,fiction,12591n,fiction_neutral
"(As the old saying goes, If you can't figure out who the fool is at the poker table, it's probably you. ","Dealers say if you can't figure out who the fool playing is, it's probably you, and they will target you.",neutral,travel,58016n,travel_neutral
Acute Bronchitis Upper Respiratory Symptoms Lower Respiratory Symptoms Work Loss Days Minor Restricted Activity Days (minus asthma attacks),Acute bronchitis can lead to loss of work days.,entailment,government,48645e,government_entailment
yeah i know because uh all i know is that when i came here in eighty seven they still had uh it was the last year to to put all your punch cards in,"By the time I came here in eighty seven, punch cards were no longer required.",contradiction,telephone,20120c,telephone_contradiction
yes yeah yeah well it it that's right and it,that's mostly right,neutral,telephone,145291n,telephone_neutral
Splendid! ,The speaker is excited by the situation.,entailment,fiction,90548e,fiction_entailment
no North Carolina State,Yes North Carolina is the state next to Virginia,contradiction,telephone,73518c,telephone_contradiction
"And here, current history adds a major point.",Current American history adds a major point.,neutral,slate,16835n,slate_neutral
The White House denies this.,This has already been repudiated by the White House.,entailment,slate,97527e,slate_entailment
"Improvements in architecture, regaining intimate space and scale and all the rest, won't disguise the ugliness of advertising the local bank, Chevy dealer, and chain retailer as a backdrop for baseball.",Local advertisements are beautiful. ,contradiction,slate,74078c,slate_contradiction
"What's more, there is no evidence of any competitive evaluation of Tripp before she was offered this job.",Tripp is not qualified for the offer she received. ,neutral,slate,60812n,slate_neutral
"[W]e have a book worthy of its subject--graceful, astonishingly well researched, yet imbued with a sense of flow that is rarely achieved at this level of scholarship, says Daphne Merkin in the New York Times Book Review . (See Sarah Kerr's review in Slate.)",The woman did not recommend anyone read the book.,contradiction,slate,46063c,slate_contradiction
"Just like we have hairpins and powder-puffs."" Tommy handed over a rather shabby green notebook, and Tuppence began writing busily.",Tommy handed Tuppence an empty shabby green notebook.,neutral,fiction,26372n,fiction_neutral
"Each edition of the DSM is the product of arguments, negotiations, and compromises.",The new addition of NPD in DSM came with a lot of arguments.,neutral,slate,61819n,slate_neutral
"It focuses on desktop, client/server, and enterprisewide computing.",It lacks focus on desktop and enterprise computing sector.,contradiction,government,77604c,government_contradiction
"Unless the mention of the Ritz was an accidental remark?""",Was mentioning the Ritz accidental?,entailment,fiction,32955e,fiction_entailment
right that's that's supposedly,"Right, possibly.  ",entailment,telephone,25360e,telephone_entailment
Court officials include the phone numbers of the local Legal Services office and county lawyer referral system on every summons.,Court officials include the phone numbers of legal aid departments.,entailment,government,137951e,government_entailment
"In general, six elements appear  purpose, type of data collected, method of data collection, design, method of data analysis, and reporting.",Purpose is not one of the six elements listed here.,contradiction,government,116552c,government_contradiction
from from personal parties or from these uh phone answering phone uh commercial things,Is it from public parties or the doorbell answering things?,contradiction,telephone,93587c,telephone_contradiction
"With an area of just 541 sq km (209 sq miles), it is slightly smaller than the Isle of Man or twice Martha's Vineyard in Massachusetts.",Martha's Vineyard is four times the size of the Isle of Man.,contradiction,travel,83764c,travel_contradiction
The Department of Labor's interim rule is adopted pursuant to the authority contained in Section 707 of the Employee Retirement Income Security Act (Pub.,The interim rule has been approved by the GOP congress.,neutral,government,88528n,government_neutral
"In a further role reversal, Gingrich may have positioned himself to fill it.",Gingrich will not fill the position. ,contradiction,slate,86184c,slate_contradiction
go up to state parks with six shelters and little screened in areas and then travel trailers and all the way up to conference center type campings that have uh you know air conditioning like hotels with uh,The state parks have six shelters on their grounds.,entailment,telephone,74304e,telephone_entailment
It was here in 1952 that King Farouk signed his abdication before boarding his yacht for exile in Italy.,"King Farouk was exiled to Italy, and signed his abdication in 1952.",entailment,travel,107922e,travel_entailment
BUDGETARY RESOURCES - The forms of authority given to an agency allowing it to incur obligations.,Administrations generally feel that some agencies should have more budgetary resources than others.,neutral,government,38156n,government_neutral
much with whatever it's with the Black the Black problem or whatever that may be now,There is no Black problem at all.,contradiction,telephone,41469c,telephone_contradiction
Per week?,The week is the first in the month.,neutral,slate,64123n,slate_neutral
And the door into Mr. Inglethorp's room? ,Don't tell me anything about the door to Mr. Inglethorp's room?,contradiction,fiction,70672c,fiction_contradiction
"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.",The cathedral and fortress are located higher while the gates are below.,entailment,travel,9616e,travel_entailment
I should put it this way. ,I'm not explaining i.,contradiction,fiction,36469c,fiction_contradiction
uh right now we're actually having uh it's getting nice i mean it was in the high fifties today but three and a half weeks ago we had an ice storm,Temperatures are still below the freezing point outside.,contradiction,telephone,102854c,telephone_contradiction
"However unsatisfactory and over-argued the revisionist case, it did make one serious  that the United States had clear national and economic interests and found the Cold War an unusually congenial way to pursue them.","During the Cold War, the United States acted in accordance with its national interests.",entailment,slate,119781e,slate_entailment
"(The employee was later rehired, and Bob denies the charge.)",The employee got their job back.,entailment,slate,21659e,slate_entailment
The other is retrospective and intended to help those who review case study reports to assess the quality of completed case studies.,The guidelines are given so that reviewers can have consistent results.,neutral,government,115097n,government_neutral
"I think it behooves Slate, in its effort to take over the public-opinion industry, to make a thorough effort to uncover the truth behind this unnatural connection.",Slate has no interest in the public-opinion industry.,contradiction,slate,88349c,slate_contradiction
they eat a lot of it you know you can take your vitamins and she was telling me to take zinc so anyway i've been taking enough zinc you know  to kill a horse probably  i hope it doesn't hurt me but anyway  i did read one chapter of that,The author advised that zinc supplements are good for health.,entailment,telephone,126583n,telephone_entailment
some of the professors i think imitate Big Bird,The professors like how cool Big Bird is.,neutral,telephone,18920n,telephone_neutral
"Their rulers introduced Buddhist and Hindu culture, Brahmin ministers to govern, and an elaborate court ritual.",Buddhist and Hindu culture and elaborate court rituals were instituted by the rulers.,entailment,travel,87800e,travel_entailment
"Anyway, she was found dead this morning.""",She was still alive.,contradiction,fiction,83298c,fiction_contradiction
"GAO's recommendations are intended to improve the economy, efficiency, and effectiveness of an agency's operations and to improve the accountability of the federal government for the benefit of the American people.",The GAO's recommendations are intended to negatively impact the effectiveness of an agency.,contradiction,government,66973c,government_contradiction
"In addition, we supported the creation of a 250-page Poverty Law Manual that introduces advocates to the fundamentals of poverty law.",The Poverty Law Manual was created to document poverty law opposition.,contradiction,government,94464c,government_contradiction
"The castle itself comprises an early 17th-century tower house, restored with Irish oak from the park which is held together without a single nail.","The Irish oak from the park does not need to be held together with nails, it has natural adhesive abilities.",neutral,travel,47121n,travel_neutral
"Designed by George Meikle Kemp, an unknown draftsman of humble birth, the monument took its inspiration from the design of MelroseAbbey.",The design was completely original and uncopied. ,contradiction,travel,122566c,travel_contradiction
Reports on attestation engagements should state that the engagement was made in accordance with generally accepted government auditing standards.,Details regarding validation engagements ought to express that the engagement was made as per by and large acknowledged government evaluating guidelines.,contradiction,government,123038e,government_contradiction
"The unintended side effect is radical, direct  In what other state do voters set the tax rates?",There is a radical side effect that was intended.,contradiction,slate,45442c,slate_contradiction
Tabulations of actual meetings and of consequent actions for same-agency funded and different-agency funded services can help check out whether this impression is reliable.,The reliability of impressions can be measured at least partially by tabulating meetings.,entailment,government,79265e,government_entailment
"Fira is a shopper's paradise, a series of narrow alleys where you can wander free from the fear of traffic, although keep your eyes and ears open for donkeys.","There is no traffic in Fira, but there are donkeys.",entailment,travel,65162e,travel_entailment
you did you see that,No one saw it. ,contradiction,telephone,107430c,telephone_contradiction
The Star reports that actress Jodie Foster is pregnant through artificial insemination.,It has been reported by The Star that actress Jodie Foster is pregnant through artificial insemination.,entailment,slate,94486e,slate_entailment
"As Jon looked at him, Barnam puffed out his chest.",Jon never looked at Barnam.,contradiction,fiction,19696c,fiction_contradiction
"Two bronze lions, carrying out feng shui principles, guard its doors.","Two golden calfs, carrying out capitalist principles, laugh at customers.",contradiction,travel,83681c,travel_contradiction
"The man who had once come up with a has-been corner skit, in which, as Zmuda recalls, forgotten performers would be sent out to flounder in front of an audience ...",A very small number of performers ended up being cheered and celebrated by the audience.,neutral,slate,31706n,slate_neutral
Friendly staff.,The staff is friendly.,entailment,travel,114087e,travel_entailment
He's too cautious.,He's not brave enough.,entailment,slate,115071e,slate_entailment
oh i enjoyed it i mean it was just more for my money,The performance was a good deal.,neutral,telephone,73817n,telephone_neutral
"It seeks genuine direct elections after a period that is sufficient to organize alternative parties and prepare a campaign based on freedom of speech and other civil rights, the right to have free trade unions, the release of more than 200 political prisoners, debt relief, stronger penalties for corruption and pollution, no amnesty for Suharto and his fellow thieves, and a respite for the poor from the hardest edges of economic reform.",Debt relief is the main motivator for people in this democracy. ,neutral,slate,98445n,slate_neutral
it's neat when you think about how she wrote it and stuff otherwise the lyrics are kind of,The way she wrote it isn't interesting at all. ,contradiction,telephone,72796c,telephone_contradiction
Decline and Decadence,Decline and decadence have a direct correlation. ,neutral,travel,133433n,travel_neutral
really oh i thought it was great yeah,That was horrible,contradiction,telephone,110234c,telephone_contradiction
"This one-at-a-time, uncoordinated series of regulatory requirements for the power industry is not the optimal approach for the environment, the power generation sector, or American consumers.",It is not the optimal approach.,entailment,government,132936n,government_entailment
they they are good,They are terrible.,contradiction,telephone,88210c,telephone_contradiction
um i know that i had heard that uh McDonald's has gotten so much flack about sending their hot foods out in the Styrofoam that they are going to work on something,Styrofoam is not a safe thing to have near food.,neutral,telephone,53653n,telephone_neutral
"We're going to try something different this morning, said Jon.",Jon decided to try a new hobby.,neutral,fiction,31641n,fiction_neutral
"Ah, triple pig! ",The pig tripled.,entailment,fiction,32196n,fiction_entailment
The two programs are currently housed in buildings about a block apart.,The reason for the programs' close proximity to each other is the similarities of their programs.,neutral,government,101874n,government_neutral
Those Creole men and women you'll see dancing it properly have been moving their hips and knees that way since childhood.,Most people that master the Creole dance learn it as adults.,contradiction,travel,45537c,travel_contradiction
A student visa overstayer is not going to be a high priority for pro bono assistance.,Overstaying a student visa will make pro bono assistance difficult.,entailment,government,112568e,government_entailment
And that squatting he does--it's as uncomfortable as it looks.,Squatting is the most comfortable position to be in.,contradiction,slate,94803c,slate_contradiction
"The Varanasi Hindu University has an Art Museum with a superb collection of 16th-century Mughal miniatures, considered superior to the national collection in Delhi.",The Varanasi Hindu University has an art museum on its campus which may be superior objectively to the national collection in Delhi.,entailment,travel,103354n,travel_entailment
"The Ovitz deal, however, contained none of these goodies.",The Ovitz deal contained all of these goodies.,contradiction,slate,27330c,slate_contradiction
sometimes well there's definitely a lot more hitting,The man says that there's a lot more hitting.,neutral,telephone,62384n,telephone_neutral
"The lucrative tin mines of Kuala Lumpur in the State of Selangor, of Sungai Ujong in Negeri Sembilan, and of Larut and Taiping in Perak were run for the Malay rulers by Chinese managers providing coolie labor.",Successful tin mines were owned by the Malay but administrated by the Chinese.,entailment,travel,127903e,travel_entailment
This man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in Europe or the Middle East.,He claimed he was robbed and left with no money or a plane ticket but quickly solved the problem.,neutral,slate,128360n,slate_neutral
"Czarek was welcomed enthusiastically, even though the poultry brotherhood was paying a lot of sudden attention to the newcomers - a strong group of young and talented managers from an egzemo-exotic chicken farm in Fodder Band nearby Podunkowice.",Czarek was welcomed into the group by the farmers.,entailment,fiction,96279n,fiction_entailment
"The vineyards hug the gentle slopes between the Vosges and the Rhine Valley along a single narrow 120-km (75-mile) strip that stretches from Marlenheim, just west of Strasbourg, down to Thann, outside Mulhouse.",The slopes between the Vosges and Rhine Valley are the only place appropriate for vineyards.,neutral,travel,111643n,travel_neutral
The logic of analysis in case studies is the same,The logic for the case studies is the same thing as in the data collection.,neutral,government,127290n,government_neutral
An important part of U.S. diplomacy is getting sovereign states to work together voluntarily.,It's not important for states to work together.,contradiction,slate,126461c,slate_contradiction
Her eyes flashed continually from one window to the other.,There were at least two windows that she could see.,entailment,fiction,108884e,fiction_entailment
You wake up one bright autumn morning and you're halfway to the subway when you decide to walk to work instead.,You decide to ride the subway instead of take a stroll to work.,contradiction,slate,114074c,slate_contradiction
"It describes six applications of case study methods, including the purposes and pitfalls of each, and explains similarities and differences among the six.",There are just two applications for case study methods.,contradiction,government,120023c,government_contradiction
Many who fled have returned.,They all ran and never looked back.,contradiction,travel,27584c,travel_contradiction
"Here you'll see the delightful but slowly disappearing indigenous FWI costume madras turban, madras skirt over petticoat, silk peplum, white blouse, and gold earrings, bracelets, and collier-choux necklace.","Here you can see FWI's traditional costume which includes a madras skirt, white blouse, and gold earrings.",entailment,travel,52639e,travel_entailment
"Disney CEO Eisner, who's actually underrated as a pop-culture maven (he was responsible for Happy Days and Welcome Back, Kotter ), insists that ABC's downturn is cyclical and that it will soon return to life.",Disney's CEO didn't contribute anything to pop culture. ,contradiction,slate,56985c,slate_contradiction
uh-huh i i thought they did an excellent job of actually aging the person you know from when he was a little kid to little older to little older to except the last the very last you know the last person the last actor that played the kid,It was a very crappy job they did as they tried to make him grow up through the years.,contradiction,telephone,82436c,telephone_contradiction
What seems to be a special bargain price for just  one week only  could turn out to be a year-round con.,Some weekly store sales turn out to be a year-round sale scams that frustrate the previous customers.,neutral,travel,95632n,travel_neutral
"Also, the tobacco executives who told Congress they didn't consider nicotine addictive might now be prosecuted for fraud and perjury.",Some tobacco executives told Congress nicotine is not addictive.,entailment,slate,126766e,slate_entailment
yes uh i bought a uh Bristol thirty five five for my wife,"My wife has a Bristol 355, which I bought for her.",entailment,telephone,70118e,telephone_entailment
"In the first instance, IRS would have no record of time before the person could get through to an agent and of discouraged callers.",There is no recording of the time for callers.,entailment,government,58557e,government_entailment
uh-huh yeah yeah they're good,They are all right but not great.,neutral,telephone,45319e,telephone_neutral
Two is enough for a secret.,Both people are dedicated to keeping the secret.,neutral,fiction,61494n,fiction_neutral
"Such multicolored reef dwellers as the parrotfish and French angelfish, along with weirdly shaped coral, crawfish, or turtles hiding in crevices, can be yours for the viewing in these clear waters where visibility of 30 m (100 ft) is common.","Since the reef has been bleached and rendered lifeless by global warming, it's no longer possible to see sea life in the cloudy water.",contradiction,travel,766c,travel_contradiction
I'd noticed him more than once and I'd figured it out in my own mind that he was afraid of somebody or something.,I saw him a few times and I thought that he was hiding something and is scared to be found out.,neutral,fiction,105176n,fiction_neutral
Melatonin,It has no melatonin.,contradiction,slate,129360c,slate_contradiction
"There is a roller coaster up there as well, but experienced riders consider it too slow and uneventful despite the altitude.",You can ride a roller coaster there that goes high up. ,entailment,travel,77508e,travel_entailment
"Some of the unmet needs are among people who can pay, but who are deterred from seeking a lawyer because of the uncertainty about legal fees and their fear of the profession.",Some people can't afford it.,neutral,government,77152e,government_neutral
He and his associates weren't operating at the level of metaphor.,His associates' boss was operating at the level of the metaphor. ,contradiction,slate,1773n,slate_contradiction
"Oh my God, I'm actually intimidated by a Simulacra.",Simulacra evokes a feeling of intimidation in me. ,entailment,fiction,137912e,fiction_entailment
"Republican consultants agree that conservative candidates in the South, Southwest, Midwest, and Rocky Mountains will beg for Reed's talents and connections.","Reed's talents will be begged for by people across the country, according to Republicans.",entailment,slate,127395e,slate_entailment
This majestic room is used for modern-day entertaining when the queen hosts dinners and banquets.,Dinners with the queen in the Royal Dining Room are much sought after invitations.,neutral,travel,7782e,travel_neutral
and oh okay and then went to Colorado,After that I left for Colorado.,entailment,telephone,20668e,telephone_entailment
"For example, NIPA excludes capital transfers, like estate tax receipts, which are recorded as revenue in the unified budget, and investment grants-in-aid to state and local governments, which the unified budget records as outlays.",NIPA does not exclude capital transfers.,contradiction,government,6013c,government_contradiction
