premise,hypothesis,label,genre,pairID
The H-2A worker must depart the country and is subject to deportation for failing to do so.,The H-2A worker is being forced to enter the country for work.,contradiction,government,35664c
Two is enough for a secret.,Both people are dedicated to keeping the secret.,neutral,fiction,61494n
An important part of U.S. diplomacy is getting sovereign states to work together voluntarily.,It's not important for states to work together.,contradiction,slate,126461c
you did you see that,No one saw it. ,contradiction,telephone,107430c
"It focuses on desktop, client/server, and enterprisewide computing.",It lacks focus on desktop and enterprise computing sector.,contradiction,government,77604c
"First, we can acknowledge, and maybe even do something about, some of the disaffecting fallout from globalization, such as pollution and cultural dislocation.",We can acknowledge there is fallout from globalization around the world.,entailment,slate,18636n
Acute Bronchitis Upper Respiratory Symptoms Lower Respiratory Symptoms Work Loss Days Minor Restricted Activity Days (minus asthma attacks),Acute bronchitis can lead to loss of work days.,entailment,government,48645e
"I think it behooves Slate, in its effort to take over the public-opinion industry, to make a thorough effort to uncover the truth behind this unnatural connection.",Slate has no interest in the public-opinion industry.,contradiction,slate,88349c
"In fact, the sloping shoulder was the noticeable feature of the new clothes of the Dior era, coming as it did immediately in the wake of the Joan Crawford/Rosalind Russell period and its vigorous shoulder padding.",Everyone embraced the end of the shoulder pad craze.,neutral,slate,26443n
"'We can't find him, Benjamin,' Lincoln/Natalia said.",Lincoln/Natalia and Benjamin found him quite easily.,contradiction,fiction,52800c
 The leaves of the papyrus were dried and used by Ancient Egyptians as a form of paper.,There was no paper-like object used by Ancient Egyptians.,contradiction,travel,26701c
The anthropologist Napoleon Chagnon has shown that Yanomamo men who have killed other men have more wives and more offspring than average guys.,Yanomamo men who kill other men have better chances at getting more wives.,entailment,slate,91603n
you know they can't really defend themselves like somebody grown uh say my age you know yeah,They can defend themselves easily.,contradiction,telephone,64336c
"The vineyards hug the gentle slopes between the Vosges and the Rhine Valley along a single narrow 120-km (75-mile) strip that stretches from Marlenheim, just west of Strasbourg, down to Thann, outside Mulhouse.",The slopes between the Vosges and Rhine Valley are the only place appropriate for vineyards.,neutral,travel,111643n
Decline in total expenditure (income) elasticity of demand from 0.36 to 0.25 over same period.,This decline in elasticity of demand is due to changes in trends in the market.,neutral,government,37607n
"Shortly after stepping out on the bridge, Jon felt the entire walkway narrow.","Shortly after stepping out on the bridge, Jon felt the wobbly walkway narrow.",neutral,fiction,21520n
Gerth's prize-winning articles do not mention a CIA report concluding that U.S. security was not harmed by the 1996 accident review.,Gerth talks at length about the important CIA report.,contradiction,slate,133923c
really oh i thought it was great yeah,That was horrible,contradiction,telephone,110234c
um-hum yeah i saw that for the first time yesterday in the evening,I have seen that many times before.,contradiction,telephone,4107c
"I'm sure I won't get stuck to it,' Julia remarked about the suitcase she was carrying.",Julia was carrying a blue suitcase filled with a dismembered body. ,neutral,fiction,12591n
oh i enjoyed it i mean it was just more for my money,The performance was a good deal.,neutral,telephone,73817n
"Civil libertarians denounced it as an improper church-state partnership, a sectarian scheme to milk the taxpayer, and a feel-good diversion from the rest of the coalition's agenda.",The coalition's core agenda is to reduce government's role in daily life.,neutral,slate,71273n
A student visa overstayer is not going to be a high priority for pro bono assistance.,Overstaying a student visa will make pro bono assistance difficult.,entailment,government,112568e
they eat a lot of it you know you can take your vitamins and she was telling me to take zinc so anyway i've been taking enough zinc you know  to kill a horse probably  i hope it doesn't hurt me but anyway  i did read one chapter of that,The author advised that zinc supplements are good for health.,entailment,telephone,126583n
But the third try worked better.,The third try worked better because we had proper tools.,neutral,fiction,35382n
Jon ran as the tunnel collapsed behind him.,The tunnel collapsed behind Jon as he ran.,entailment,fiction,11697e
Court officials include the phone numbers of the local Legal Services office and county lawyer referral system on every summons.,Court officials include the phone numbers of legal aid departments because it will help those who can't afford to pay lawyers.,neutral,government,137951n
"[W]e have a book worthy of its subject--graceful, astonishingly well researched, yet imbued with a sense of flow that is rarely achieved at this level of scholarship, says Daphne Merkin in the New York Times Book Review . (See Sarah Kerr's review in Slate.)",The woman did not recommend anyone read the book.,contradiction,slate,46063c
The White House denies this.,This has already been repudiated by the White House.,entailment,slate,97527e
"And, although I got a Ph.D. in philosophy many years ago and have thought and read about these matters ever since, heaven (or whatever) knows I don't have too many answers that I feel confident about.",I don't know about this subject because it is so complicated.,neutral,slate,75955n
"Czarek was welcomed enthusiastically, even though the poultry brotherhood was paying a lot of sudden attention to the newcomers - a strong group of young and talented managers from an egzemo-exotic chicken farm in Fodder Band nearby Podunkowice.",Czarek was welcomed into the group by the farmers.,entailment,fiction,96279n
"A portion of the nation's income, in turn, is saved, allowing for additional investment in domestic factories, equipment, and other forms of capital that workers use to produce more goods and services or for investment abroad.",Domestic industry and workers depend greatly on the nation's income.,neutral,government,35787n
The  rock  has a soft texture and can be bought in a variety of shapes.,The rock comes in various shapes.,entailment,travel,66737e
I should put it this way. ,I'm not explaining i.,contradiction,fiction,36469c
"Despite their 17th-century origins, these gardens avoid the rigid geometry of the Tuileries and Ver?­sailles.",The gardens are not shaped like the Tuileries or Versailles.,entailment,travel,133789e
yeah i can usually i can put in oh probably mid March i can put anything in the ground you know beets and onions and stuff like that,"I can put pretty much anything in the ground, from beets to onions.",entailment,telephone,67051e
"Ah, triple pig! ",The pig tripled.,entailment,fiction,32196n
For the first time I entertained the idea of taking my talents to that particular market… .,"I had never considered doing it before, but I did now.",entailment,fiction,74629e
"There is a roller coaster up there as well, but experienced riders consider it too slow and uneventful despite the altitude.",You can ride a roller coaster there that goes high up. ,entailment,travel,77508e
"This provides insight into the important Japanese concept of katachi (form), the rough equivalent of  It isn't what you do; it's the way that you do it.  ",All Japanese people abide by the concept of katachi.,neutral,travel,128729n
and not only that it it opens you to phone solicitations,It also opens the door to move marketing calls.,entailment,telephone,17660e
"GAO's recommendations are intended to improve the economy, efficiency, and effectiveness of an agency's operations and to improve the accountability of the federal government for the benefit of the American people.",The GAO's recommendations are intended to negatively impact the effectiveness of an agency.,contradiction,government,66973c
"General Accounting Office, A Model of Strategic Human Capital Management, GAO-02-373SP (Washington, D.C.: Mar.",The GAO may be a model of strategic human capital management.,neutral,government,49748n
What seems to be a special bargain price for just  one week only  could turn out to be a year-round con.,Some weekly store sales turn out to be a year-round sale scams that frustrate the previous customers.,neutral,travel,95632n
'I really don't feel comfortable around people who enjoy making speeches.',I don't enjoy being around people who like public speaking because they are usually liars. ,neutral,fiction,143433n
so who so if you go out and you're talking like a ten or fifteen thousand dollar vehicle and you add that sales tax on that's a that's a big chunk of change you have to come up with,"If you add sales tax to a ten thousand dollar vehicle, that a lot of money.",entailment,telephone,53953e
"This one-at-a-time, uncoordinated series of regulatory requirements for the power industry is not the optimal approach for the environment, the power generation sector, or American consumers.",The environment and American consumers are better off as a result of this regulation.,neutral,government,132936c
"In this enclosed but airy building, you'll find ladies with large machetes expertly chopping off hunks of kingfish, tuna, or shark for eager buyers.",The ladies have worked here cutting fish all their lives.,neutral,travel,61429n
"Long ago--or away, or whatever--there was a world called Thar?? and another called Erath.",A long time ago there were two worlds called Thar and Erath.,entailment,fiction,134240e
"The Varanasi Hindu University has an Art Museum with a superb collection of 16th-century Mughal miniatures, considered superior to the national collection in Delhi.",The Varanasi Hindu University has an art museum on its campus which may be superior objectively to the national collection in Delhi.,entailment,travel,103354n
You're the Desert Ghost.,You're the Desert Ghost from the sand dunes.,neutral,fiction,50248n
uh-huh yeah yeah they're good,Everyone thinks they're bad.,contradiction,telephone,45319c
"Hey, no problem, a fine policy.","No worries, a good policy.",entailment,slate,92664e
some of the professors i think imitate Big Bird,The professors like how cool Big Bird is.,neutral,telephone,18920n
"The South African priest who invited Clinton to do so is quoted in the paper as saying that once Clinton stood up, he was thinking about how much embarrassment it would have caused him by my saying, please sit down.",A South African priest once invited Clinton to do so in quoted paper. ,entailment,slate,5782e
"His ruthless campaigns resulted in more than 600,000 Irish dead or deported.","500,000 Irish died and 100,000 were deported due to his ruthless campaigns.",neutral,travel,31208n
"The castle itself comprises an early 17th-century tower house, restored with Irish oak from the park which is held together without a single nail.","The Irish oak from the park does not need to be held together with nails, it has natural adhesive abilities.",neutral,travel,47121n
"For example, NIPA excludes capital transfers, like estate tax receipts, which are recorded as revenue in the unified budget, and investment grants-in-aid to state and local governments, which the unified budget records as outlays.",NIPA does not exclude capital transfers.,contradiction,government,6013c
"We should seek to achieve the most good or benefit, with the least harm and destruction of things that we value, he argued.",He argued that we should recklessly destroy all the things that we care the most about.,contradiction,slate,100332c
no i i just painted,I just painted a huge mural depicting a tiger empaling a small dog. ,neutral,telephone,51943n
"Improvements in architecture, regaining intimate space and scale and all the rest, won't disguise the ugliness of advertising the local bank, Chevy dealer, and chain retailer as a backdrop for baseball.",Local advertisements are beautiful. ,contradiction,slate,74078c
"Although a mile long, its name is misleading because it is not one street but several different streets.",It is a mile long.,entailment,travel,70320e
This majestic room is used for modern-day entertaining when the queen hosts dinners and banquets.,Dinners with the queen in the Royal Dining Room are much sought after invitations.,neutral,travel,7782e
"One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chair.",The chair was tall and made of wood. ,neutral,fiction,68181n
go up to state parks with six shelters and little screened in areas and then travel trailers and all the way up to conference center type campings that have uh you know air conditioning like hotels with uh,The state parks have six shelters on their grounds.,entailment,telephone,74304e
Court officials include the phone numbers of the local Legal Services office and county lawyer referral system on every summons.,Court officials include the phone numbers of legal aid departments.,entailment,government,137951e
"After their savage battles, the warriors recuperated through meditation in the peace of a Zen monastery rock garden.",The warriors recuperated through mediation learned from monks.,neutral,travel,14459n
"Oh my God, I'm actually intimidated by a Simulacra.",Simulacra evokes a feeling of intimidation in me. ,entailment,fiction,137912e
It was here in 1952 that King Farouk signed his abdication before boarding his yacht for exile in Italy.,"King Farouk was exiled to Italy, and signed his abdication in 1952.",entailment,travel,107922e
He and his associates weren't operating at the level of metaphor.,His associates' boss was operating at the level of the metaphor. ,contradiction,slate,1773n
i don't know no i don't,"I used to know, now I don't.",neutral,telephone,83173n
"At the top, it bore the printed stamp of Messrs. ",It has a Messrs stamp.,entailment,fiction,88419e
plus i like to dance you know,Plus I love to get my groove on.,neutral,telephone,117420n
The chain wielder smiled at her.,The chain wielder frowned at her.,contradiction,fiction,139311c
"In addition, we supported the creation of a 250-page Poverty Law Manual that introduces advocates to the fundamentals of poverty law.",The Poverty Law Manual was created to document poverty law opposition.,contradiction,government,94464c
"With their fluent Vietnamese and Mandarin, they help Tran understand her family's eligibility for Medi-Cal and food stamps, assist the 70-year-old woman in finding a place to live and advise abused women how they can stay in the country while staying away from their husbands.",Tran was advised on opportunities for her family. ,entailment,government,130629e
Those Creole men and women you'll see dancing it properly have been moving their hips and knees that way since childhood.,Most people that master the Creole dance learn it as adults.,contradiction,travel,45537c
He knew how the Simulacra was supposed to develop.,He didn't know about Sims.,contradiction,fiction,54383c
they they are good,They are terrible.,contradiction,telephone,88210c
"For instance, mandatory account proposals are more likely to increase private saving because such a program would require households that do not currently save-such as many low-income individuals or families-to place some amount in an individual account.",People who dont voluntarily save money are less likely to have bank accounts.,neutral,government,92163n
much with whatever it's with the Black the Black problem or whatever that may be now,There is no Black problem at all.,contradiction,telephone,41469c
"Also in Eustace Street is an information office and a cultural center for children, The Ark .","The Ark is located in Eustace Street, and is a cultural center for kids.",entailment,travel,130021e
No. I guess I'm going too.,I guess I'm not going to come.,contradiction,fiction,71870c
"It seeks genuine direct elections after a period that is sufficient to organize alternative parties and prepare a campaign based on freedom of speech and other civil rights, the right to have free trade unions, the release of more than 200 political prisoners, debt relief, stronger penalties for corruption and pollution, no amnesty for Suharto and his fellow thieves, and a respite for the poor from the hardest edges of economic reform.",Debt relief is the main motivator for people in this democracy. ,neutral,slate,98445n
"The seven grants flow from a new Nonprofit Capacity Building program at the foundation, part of a trend among philanthropists to give money to help organizations grow stronger, rather than to the program services they provide.",The grants flow from the Executive branch of the United States government.,contradiction,government,67113c
"I jumped, coat tails flapping.",I was completely naked.,contradiction,fiction,105253c
because uh i know people who eat tons of that kind of stuff and they're just as healthy as can be,"People who eat unhealthy foods are not sick are lucky, so far.",neutral,telephone,145485n
They're both excited about it ...,They're excited about the zoo. ,neutral,slate,4777n
"We still espouse a God-given right of human beings to use the environment for their benefit, says Barrett Duke of the Southern Baptists.",Duke says we can use the environment to our benefit.,entailment,slate,137715e
Grantees statistically sample the cases closed in the previous year to determine if the sampled cases generally meet the requirements for reporting cases to LSC.,Grantees are not going to pay attention to cases closed in the last year.,contradiction,government,131084c
right well the preseason really doesn't mean anything either,"Right,the preseason is not really important either.",entailment,telephone,9646e
Tabulations of actual meetings and of consequent actions for same-agency funded and different-agency funded services can help check out whether this impression is reliable.,The reliability of impressions can be measured at least partially by tabulating meetings.,entailment,government,79265e
And these are tough times for reviewers in general.,Specialist reviewers or reviewers with seniority are having an easier time of it.,neutral,slate,53415n
Its facilities include a swimming pool and a peaceful garden.,There's a pool and a garden on the premises.,entailment,travel,2507e
"Their rulers introduced Buddhist and Hindu culture, Brahmin ministers to govern, and an elaborate court ritual.",Buddhist and Hindu culture and elaborate court rituals were instituted by the rulers.,entailment,travel,87800e
"(The employee was later rehired, and Bob denies the charge.)",The employee got their job back.,entailment,slate,21659e
"He appropriated for the State much of the personal fortunes of the princes, but found it harder to curtail the power of land-owners who had extensive contacts with the more conservative elements in his Congress Party.","It was difficult to curtail the power of land-owners in extensive contact with the more conservative elements in the Congress Party, because the Party was paying them off.",neutral,travel,134368n
"Designed by George Meikle Kemp, an unknown draftsman of humble birth, the monument took its inspiration from the design of MelroseAbbey.",The design was completely original and uncopied. ,contradiction,travel,122566c
"Anyway, she was found dead this morning.""",She was still alive.,contradiction,fiction,83298c
The Star reports that actress Jodie Foster is pregnant through artificial insemination.,It has been reported by The Star that actress Jodie Foster is pregnant through artificial insemination.,entailment,slate,94486e
The Department of Labor's interim rule is adopted pursuant to the authority contained in Section 707 of the Employee Retirement Income Security Act (Pub.,The interim rule has been approved by the GOP congress.,neutral,government,88528n
and oh okay and then went to Colorado,After that I left for Colorado.,entailment,telephone,20668e
"Each edition of the DSM is the product of arguments, negotiations, and compromises.",The new addition of NPD in DSM came with a lot of arguments.,neutral,slate,61819n
"Such multicolored reef dwellers as the parrotfish and French angelfish, along with weirdly shaped coral, crawfish, or turtles hiding in crevices, can be yours for the viewing in these clear waters where visibility of 30 m (100 ft) is common.","Since the reef has been bleached and rendered lifeless by global warming, it's no longer possible to see sea life in the cloudy water.",contradiction,travel,766c
um i know that i had heard that uh McDonald's has gotten so much flack about sending their hot foods out in the Styrofoam that they are going to work on something,Styrofoam is not a safe thing to have near food.,neutral,telephone,53653n
"What's more, there is no evidence of any competitive evaluation of Tripp before she was offered this job.",Tripp is not qualified for the offer she received. ,neutral,slate,60812n
uh right now we're actually having uh it's getting nice i mean it was in the high fifties today but three and a half weeks ago we had an ice storm,Temperatures are still below the freezing point outside.,contradiction,telephone,102854c
"At Kansas City Power and Light's Hawthorn Power Station, Unit 5 was replaced (excluding turbine) in under 22 months.",Unit 5 was the only one that was replaced.,neutral,government,135400n
"But you would not trust me.""",It is understandable because I have broken your trust numerous times. ,neutral,fiction,114267n
senior management oversight and approval ofRequired acquisition objectives and plans.,the referenced organization does not have a senior management division.,contradiction,government,6937c
"On your right is the entrance to the 16th-century Sandal Bedesten, with lovely brick vaults supported on massive stone pillars.",We will not be able to show you the entrance to the Sandal Bedesten because of construction.,contradiction,travel,116582c
but you're without a paycheck during that time and i don't at least that's my understanding is even you know the first time you go for counseling and it's six weeks before you're back to work,You don't have a paycheck for six week if you go.,entailment,telephone,130884e
BUDGETARY RESOURCES - The forms of authority given to an agency allowing it to incur obligations.,Administrations generally feel that some agencies should have more budgetary resources than others.,neutral,government,38156n
"(As the old saying goes, If you can't figure out who the fool is at the poker table, it's probably you. ","Dealers say if you can't figure out who the fool playing is, it's probably you, and they will target you.",neutral,travel,58016n
"Diamonds are graded from D to X, with only D, E, and F considered good, D being colorless or  river white,  J  slightly tinted,  Q  light yellow,  and S to X  yellow.  ","Diamonds are rated alphabetically, the ones from D to F are considered the best.",entailment,travel,25833e
"Gordon, Robert J. Does the 'New Economy' Measure Up to the Great Inventions of the Past.",There were great inventions in the past.,entailment,government,133232e
yeah it is it is and i guess you don't have to but you know if you look at oh have you ever seen any of the Jacques Teti Teti movies the French movies uh Teti it it,Have you ever watched any French films?,neutral,telephone,53863e
and uh well if you if you got got him a power mower it'd probably take him a lot less time to do it but i enjoy doing it i feel good doing it uh i i feel a lot better doing it with a power mower with that with a  with a pull tractor on it so i don't have to push so hard,Buying him a power mower would probably help him finish the job sooner.,entailment,telephone,140900e
Many who fled have returned.,They all ran and never looked back.,contradiction,travel,27584c
